Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G,Team,Season,Pos,Conference
16,Joffrey Lauvergne,25,20,1,12.1,1.9,4.6,0.402,0.3,1,0.3,1.6,3.6,0.431,0.435,0.5,0.8,0.6,1.1,2.4,3.4,1,0.4,0,0.8,0.6,4.5,CHI,2017,C,East
1,Brook Lopez,28,75,75,29.6,7.4,15.6,0.474,1.8,5.2,0.346,5.6,10.5,0.536,0.531,3.9,4.9,0.81,1.6,3.8,5.4,2.3,0.5,1.7,2.5,2.6,20.5,BRK,2017,C,East
12,Justin Hamilton,26,64,7,18.4,2.7,5.9,0.459,0.9,2.8,0.306,1.9,3.1,0.598,0.532,0.6,0.8,0.75,1.1,3,4.1,0.9,0.5,0.7,0.7,1.4,6.9,BRK,2017,C,East
5,Cody Zeller,24,62,58,27.8,4.1,7.1,0.571,0,0,0,4.1,7.1,0.572,0.571,2.1,3.2,0.679,2.2,4.4,6.5,1.6,1,0.9,1,3,10.3,CHO,2017,C,East
6,Frank Kaminsky,23,75,16,26.1,4.3,10.7,0.399,1.5,4.7,0.328,2.7,6,0.455,0.471,1.6,2.1,0.756,0.8,3.7,4.5,2.2,0.6,0.5,1,1.9,11.7,CHO,2017,C,East
11,Roy Hibbert,30,42,13,16,1.9,3.4,0.542,0,0,NA,1.9,3.4,0.542,0.542,1.5,1.8,0.813,1.3,2.3,3.6,0.5,0.2,1,0.7,2.3,5.2,CHO,2017,C,East
12,Miles Plumlee,28,13,0,13.4,1.1,1.8,0.583,0,0,NA,1.1,1.8,0.583,0.583,0.2,0.3,0.75,1.2,2.1,3.2,0.2,0.5,0.3,0.6,1.9,2.4,CHO,2017,C,East
13,Mike Tobey,22,2,0,12.5,0.5,2,0.25,0,0,NA,0.5,2,0.25,0.25,0,0,NA,1,0.5,1.5,0.5,0,0,0.5,1,1,CHO,2017,C,East
7,Hassan Whiteside,28,54,54,25.3,5.8,10.7,0.54,0,0,1,5.7,10.7,0.538,0.542,2.4,3.4,0.703,3.2,8.2,11.4,1,0.7,1.7,1.7,2.4,14,MIA,2018,C,East
11,Bam Adebayo,20,69,19,19.8,2.5,4.9,0.512,0,0.1,0,2.5,4.8,0.523,0.512,1.9,2.6,0.721,1.7,3.8,5.5,1.5,0.5,0.6,1,2,6.9,MIA,2018,C,East
18,Udonis Haslem,37,14,0,5.1,0.2,1.1,0.2,0.1,0.6,0.125,0.1,0.5,0.286,0.233,0.1,0.1,0.5,0.2,0.5,0.7,0.4,0,0.1,0.1,0.2,0.6,MIA,2018,C,East
4,Enes Kanter,25,71,71,25.8,5.9,10,0.592,0,0,0,5.9,10,0.594,0.592,2.2,2.6,0.848,3.8,7.1,11,1.5,0.5,0.5,1.7,2.6,14.1,NYK,2018,C,East
12,Kyle O'Quinn,27,77,10,18,2.9,5,0.583,0.1,0.2,0.235,2.9,4.8,0.599,0.589,1.3,1.6,0.772,1.6,4.5,6.1,2.1,0.5,1.3,1.3,2.5,7.1,NYK,2018,C,East
19,Willy Hernangómez,23,26,0,9,1.9,3.1,0.605,0,0.2,0.2,1.8,2.9,0.632,0.611,0.5,1.1,0.429,0.8,1.7,2.6,0.8,0.3,0.3,1,1.2,4.3,NYK,2018,C,East
20,Joakim Noah,32,7,0,5.7,0.7,1.4,0.5,0,0,NA,0.7,1.4,0.5,0.5,0.3,0.6,0.5,0.9,1.1,2,0.6,0.3,0.3,0.6,0.7,1.7,NYK,2018,C,East
3,Joel Embiid,23,63,63,30.3,8.1,16.8,0.483,1,3.4,0.308,7,13.4,0.527,0.514,5.7,7.4,0.769,2.3,8.7,11,3.2,0.6,1.8,3.7,3.3,22.9,PHI,2018,C,East
11,Amir Johnson,30,74,18,15.8,1.9,3.5,0.538,0.1,0.4,0.313,1.8,3.1,0.57,0.558,0.7,1.1,0.612,1.7,2.8,4.5,1.6,0.6,0.6,0.7,2.6,4.6,PHI,2018,C,East
13,Richaun Holmes,24,48,2,15.5,2.8,5,0.56,0.1,0.6,0.129,2.7,4.4,0.624,0.568,0.8,1.2,0.661,1.2,3.2,4.4,1.3,0.4,0.6,0.5,2,6.5,PHI,2018,C,East
16,Jahlil Okafor,22,2,0,12.5,2,4.5,0.444,0,0,NA,2,4.5,0.444,0.444,1,2,0.5,2,2.5,4.5,0.5,0,1,1.5,3.5,5,PHI,2018,C,East
3,Nikola Vučević,27,57,57,29.5,7,14.7,0.475,1.1,3.6,0.314,5.9,11.2,0.527,0.513,1.4,1.6,0.819,1.8,7.4,9.2,3.4,1,1.1,1.9,2.5,16.5,ORL,2018,C,East
12,Bismack Biyombo,25,82,25,18.2,2.2,4.3,0.52,0,0,0,2.2,4.3,0.521,0.52,1.2,1.9,0.65,1.8,4,5.7,0.8,0.3,1.2,1,1.9,5.7,ORL,2018,C,East
15,Khem Birch,25,42,0,13.8,1.6,3,0.54,0,0,NA,1.6,3,0.54,0.54,1,1.5,0.689,1.7,2.6,4.3,0.8,0.4,0.5,0.5,1.3,4.2,ORL,2018,C,East
16,Marreese Speights,30,52,3,13,2.7,6.7,0.395,1.7,4.5,0.369,1,2.2,0.448,0.519,0.8,1.1,0.727,0.4,2.2,2.6,0.8,0.2,0.4,0.8,2,7.7,ORL,2018,C,East
2,Al Horford,31,72,72,31.6,5.1,10.5,0.489,1.3,3.1,0.429,3.8,7.3,0.514,0.553,1.3,1.7,0.783,1.4,5.9,7.4,4.7,0.6,1.1,1.8,1.9,12.9,BOS,2018,C,East
8,Greg Monroe,27,26,0,19.1,4,7.6,0.53,0,0,NA,4,7.6,0.53,0.53,2.1,2.7,0.797,2,4.3,6.3,2.3,1.1,0.7,1.8,1.8,10.2,BOS,2018,C,East
9,Aron Baynes,31,81,67,18.3,2.6,5.5,0.471,0,0.3,0.143,2.6,5.2,0.487,0.474,0.7,1,0.756,1.6,3.8,5.4,1.1,0.3,0.6,1,2.5,6,BOS,2018,C,East
